InputID,TargetID,Distance
AN BURN S01 ,ML UNBURN G05 ,190442.574778631
AN BURN S01 ,ML UNBURN O04 ,190486.28543138
AN BURN S01 ,ML UNBURN O05 ,190428.230250831
AN BURN S01 ,ML UNBURN S01 ,188814.410154045
AN BURN S01 ,ML UNBURN S02 ,188793.107993461
AN BURN S01 ,QR BURN C01,147327.786994501
AN BURN S01 ,QR BURN C02 ,147850.04579626
AN BURN S01 ,QR BURN G01,147242.506461419
AN BURN S01 ,QR BURN G02 ,147763.53544349
AN BURN S01 ,QR BURN G03 ,148796.919479127
AN BURN S01 ,QR BURN G05,151488.917683154
AN BURN S01 ,QR BURN O01,147361.657247851
AN BURN S01 ,QR BURN O02 ,147889.083293014
AN BURN S01 ,QR BURN O03 ,148837.555172379
AN BURN S01 ,QR BURN O05,151468.457241647
AN BURN S02 ,AN BURN F01 ,2103.67054092226
AN BURN S02 ,AN BURN F02 ,2090.27008376077
AN BURN S02 ,AN BURN G04 ,726.624062919687
AN BURN S02 ,AN BURN G05 ,160.794582341037
AN BURN S02 ,AN BURN S01 ,391.343067369773
AN BURN S02 ,AN UNBURN F01 ,499.440646057549
AN BURN S02 ,AN UNBURN F02 ,624.5739553303
AN BURN S02 ,AN UNBURN G01 ,320.126924621763
AN BURN S02 ,AN UNBURN G03 ,227.161783059264
AN BURN S02 ,AN UNBURN S01 ,387.768481996767
AN BURN S02 ,AN UNBURN S02 ,567.662657399134
AN BURN S02 ,BC BURN G01 ,140091.02124952
AN BURN S02 ,BC BURN G02 ,140146.205945828
AN BURN S02 ,BC BURN G03 ,140114.327919099
AN BURN S02 ,BC BURN R01 ,139031.633855751
AN BURN S02 ,BC BURN R02 ,139086.187544083
AN BURN S02 ,BC BURN S01 ,138559.001516727
AN BURN S02 ,BC BURN S02 ,138765.281583052
AN BURN S02 ,BC UNBURN R01,137081.67013448
AN BURN S02 ,BC UNBURN R02   ,139382.129623634
AN BURN S02 ,BC UNBURN S01 ,139320.999058257
AN BURN S02 ,BC UNBURN S02 ,139267.576750069
AN BURN S02 ,BO BURN G01 ,58418.4645202529
AN BURN S02 ,BO BURN G02 ,58571.8460044829
AN BURN S02 ,BO BURN O01 ,59783.8004594243
AN BURN S02 ,BO BURN O02 ,59618.1244657706
AN BURN S02 ,BO BURN O03 ,59464.1210956254
AN BURN S02 ,BO BURN S01 ,59026.9684772782
AN BURN S02 ,BO BURN S02 ,59231.1601939821
AN BURN S02 ,BO BURN S03 ,59362.0830512902
AN BURN S02 ,BO UNBURN G01 ,58347.7030650784
AN BURN S02 ,BO UNBURN G02 ,58320.7863750764
AN BURN S02 ,BO UNBURN O01 ,58229.6693261021
AN BURN S02 ,BO UNBURN O02 ,58887.9946220768
AN BURN S02 ,BO UNBURN S01 ,57582.4253956513
AN BURN S02 ,BO UNBURN S02 ,57586.9336791288
AN BURN S02 ,BO UNBURN S03 ,57707.5019021737
AN BURN S02 ,HT BURN C01 ,110273.408068276
AN BURN S02 ,HT BURN C02,110141.517629765
AN BURN S02 ,HT BURN C03 ,110215.444468255
AN BURN S02 ,HT BURN G01 ,110081.413875369
AN BURN S02 ,HT BURN G02 ,110130.628110652
AN BURN S02 ,HT BURN G04 ,110323.219595027
AN BURN S02 ,HT BURN O01 ,109940.003597341
